state,weekid,dose1,dose2
Puducherry,20,46963,471
Puducherry,21,19783,4493
Puducherry,22,236415,24532
Puducherry,23,510210,36598
Puducherry,24,104894,40919
Puducherry,25,59108,32856
Puducherry,26,82326,44761
Puducherry,27,69473,49589
Puducherry,28,150211,43390
Puducherry,29,45271,14927
Puducherry,30,28407,26677
Puducherry,31,12033,19823
Puducherry,32,12105,31805
Punjab,1,3242,0
Punjab,2,17993,0
Punjab,3,10893,0
Punjab,4,29275,334
Punjab,5,19365,11080
Punjab,6,7214,9588
Punjab,7,18629,7932
Punjab,8,25927,18620
Punjab,9,116361,19131
Punjab,10,303750,8267
Punjab,11,83174,3923
Punjab,12,85000,12390
Punjab,13,45278,22711
Punjab,14,54367,77270
Punjab,15,86924,162825
Punjab,16,45448,111604
Punjab,17,32583,40986
Punjab,18,59022,334
Punjab,19,36084,578
Punjab,20,46963,471
Punjab,21,19783,4493
Punjab,22,236415,24532
Punjab,23,510210,36598
Punjab,24,104894,40919
Punjab,25,59108,32856
Punjab,26,82326,44761
Punjab,27,69473,49589
Punjab,28,150211,43390
Punjab,29,45271,14927
Punjab,30,28407,26677
Punjab,31,12033,19823
Punjab,32,12105,31805
Rajasthan,1,3242,0
Rajasthan,2,17993,0
Rajasthan,3,10893,0
Rajasthan,4,29275,334
Rajasthan,5,19365,11080
Rajasthan,6,7214,9588
Rajasthan,7,18629,7932
Rajasthan,8,25927,18620
Rajasthan,9,116361,19131
Rajasthan,10,303750,8267
